Name,StructureId,StructureType,InstallYear,TCACode,BrandModel,SupplierName,ContractorName,DesignerName,Cost,Comments,Area,DedicationContact,DedicationSuite,DedicationCivicNumber,DedicationStreetName,DedicationCity,DedicationProvince,DedicationPostalCode,DedicationPhone,DedicationInscription,DedicationDate,DedicationComments,OBJECTID,X,Y,Bowl Height,Type,Style,Colour/Material,Neighbourhood
Drinking Fountain,1169,DRINKING FOUNTAIN,,,,,,,,,Terry Hughes Park,,,,,,,,,,,,86,-122.9111543,49.22126954,97,Standard,Functionalist,Black,Glenbrooke North
Drinking Fountain,730,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,145,-122.9279061,49.21176384,96.5,Combo,Functionalist,Black,Kelvin
Drinking Fountain,1217,DRINKING FOUNTAIN,,,,,,,,blue metal,Connaught Heights Park,,,,,,,,,,,,254,-122.9546277,49.20326978,101,Standard,Functionalist,Black,Connaught Heights
Drinking Fountain,1267,DRINKING FOUNTAIN,,,,,,,,,Ryall Park,,,,,,,,,,,,304,-122.9423071,49.18526132,87,Standard,Functionalist,Dark Blue,Queensborough
Drinking Fountain,1637,DRINKING FOUNTAIN,,,,,,,,,Port Royal Community Garden,,,,,,,,,,,,469,-122.9256107,49.19557437,86,Combo,Modernist,Cement,North Arm South
Drinking Fountain,24,DRINKING FOUNTAIN,,,,,,,,at native memorial,Queen's Park,,,,,,,,,,,,608,-122.9050953,49.21427038,84.5/69.5,Standard,Memorial,Brick,Glenbrooke South
Drinking Fountain,378,DRINKING FOUNTAIN,,,,,,,,,Waterfront Esplanade,,,,,,,,,,,,615,-122.9221098,49.19822384,95,Combo,Functionalist,Dark Blue,Downtown
Drinking Fountain,1788,DRINKING FOUNTAIN,,,,,,,,blue metal,Canada Games Pool,,,,,,,,,,,,810,-122.9082255,49.22108761,96.5,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,234,DRINKING FOUNTAIN,,,,,,,,,City Hall Grounds,,,,,,,,,"""TIM"" Timothy Jarkson Mahony FOR OVER 20 YEARS COACH AND PRACTICAL FRIEND OF THE ATHLETIC YOUTH OF NEW WESTMINSTER ERECTED BY NUMEROUS FRIENDS IN RECOGNITION OF FATHFUL, EFFICIENT, UNSELFISH DEDICATION TO SPORT 1924 ""He played the game.""",1924,,1053,-122.9115249,49.20638993,80,Standard,Ornate,Cement,Uptown
Drinking Fountain,191,DRINKING FOUNTAIN,,,,,,,,,Friendship Gardens,,,,,,,,,GYRO CLUB 1974,1974,,1127,-122.910596,49.20752788,80,Standard,Brutalist,Cement,Uptown
Drinking Fountain,133,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,1151,-122.9057232,49.21557252,97,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,86,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,1238,-122.9083241,49.21633266,96,Combo,Functionalist,Dark Blue,Glenbrooke South
Drinking Fountain,1033,DRINKING FOUNTAIN,,,,,,,,blue metal,Sapperton Park,,,,,,,,,,,,1472,-122.894453,49.22776714,?,Standard,Functionalist,Dark Blue,Sapperton
Drinking Fountain,682,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,1480,-122.9254857,49.21129013,80.5,Standard,Wall Mounted,Metal,Kelvin
Drinking Fountain,585,DRINKING FOUNTAIN,,,,,,,,Water Tap,Hume Park,,,,,,,,,,,,1522,-122.8907788,49.23450504,-,Dog,Functionalist,Dark Blue,Sapperton
Drinking Fountain,594,DRINKING FOUNTAIN,,,,,,,,Water Tap,Hume Park,,,,,,,,,,,,1530,-122.8897029,49.23335396,98,Standard,Functionalist,Light Blue,Sapperton
Drinking Fountain,549,DRINKING FOUNTAIN,1965,,,,,,,Concrete. This fountian is currently decomissioned.,Hume Park,,,,,,,,,,,,1718,-122.8917458,49.23560077,-,Decomissioned,-,Cement,Sapperton
Drinking Fountain,2023,DRINKING FOUNTAIN,,,,,,,,,Hume Park,,,,,,,,,,,,10505,-122.8907829,49.23343999,98,Standard,Functionalist,Dark Blue,Sapperton
Drinking Fountain,2025,DRINKING FOUNTAIN,,,,,,,,,Westburnco Sports Courts,,,,,,,,,,,,10506,-122.9060857,49.22952978,91.5,Combo,Functionalist,Dark Blue,Victory Heights
